id,account_id,region,instance,subnet,instancetype,launchtime,statecode,statename,name
1,3,us-east-1,i-08a7fc4b4b3ea3710,subnet-4adbff2e,t2.xlarge,2021-08-02T13:51:52+00:00,16,running,OX-office
2,3,us-east-1,i-05d8899cbc04c6c03,subnet-4adbff2e,t2.large,2021-04-21T05:21:06+00:00,16,running,Talend2
3,3,us-east-1,i-03b9d1ecaad1a95fb,subnet-4adbff2e,t2.large,2021-06-05T04:18:27+00:00,80,stopped,HIO
4,3,us-east-1,i-066e00329335a2cbd,subnet-4adbff2e,t2.small,2019-02-20T13:39:14+00:00,80,stopped,AshokWindowserver
5,3,us-east-1,i-0d191bcbb59ee3a87,subnet-4adbff2e,t2.large,2021-07-19T03:28:00+00:00,16,running,windowsUIPath
6,3,us-east-1,i-0142bb8e9bace10f4,subnet-4adbff2e,t2.xlarge,2021-07-22T10:00:40+00:00,16,running,elastic
7,3,us-east-1,i-03782b8ffeb82946a,subnet-4adbff2e,t2.large,2020-03-13T09:48:30+00:00,16,running,Talend1
8,3,us-east-1,i-06c1a55f20d6b3810,subnet-4adbff2e,t2.medium,2021-02-09T08:50:13+00:00,80,stopped,RDC
9,3,us-east-1,i-031b06b4c88962501,subnet-4adbff2e,t2.medium,2021-02-09T08:50:48+00:00,80,stopped,rdc
10,3,us-east-1,i-0bb64b921577cfdcf,subnet-4adbff2e,t2.medium,2021-01-06T04:58:20+00:00,16,running,ftp-new
11,3,us-east-1,i-0b7f68ba1e9ae38a9,subnet-4adbff2e,t2.large,2020-10-14T14:28:07+00:00,16,running,Talend3
12,3,us-east-1,i-0f03e50d2ff9257c2,subnet-4adbff2e,t2.medium,2020-12-17T08:40:04+00:00,16,running,Talend4
13,3,us-east-1,i-01c373de197bd5954,subnet-463cbf0e,t2.large,2021-10-29T14:47:04+00:00,80,stopped,Appzera-playground
