,instanceid, networkinGiB, networkoutGiB, cpuutilization%,id,account_id,region,subnet,instancetype,launchtime,statecode,statename,name,state
0,i-08a7fc4b4b3ea3710,0.055177,0.157331,0.324382,1,3,us-east-1,subnet-4adbff2e,t2.xlarge,2021-08-02T13:51:52+00:00,16,running,OX-office,idle
1,i-05d8899cbc04c6c03,0.019442,0.005066,27.598571,2,3,us-east-1,subnet-4adbff2e,t2.large,2021-04-21T05:21:06+00:00,16,running,Talend2,active
2,i-03b9d1ecaad1a95fb,0.0,0.0,0.0,3,3,us-east-1,subnet-4adbff2e,t2.large,2021-06-05T04:18:27+00:00,80,stopped,HIO,idle
3,i-066e00329335a2cbd,0.0,0.0,0.0,4,3,us-east-1,subnet-4adbff2e,t2.small,2019-02-20T13:39:14+00:00,80,stopped,AshokWindowserver,idle
4,i-0d191bcbb59ee3a87,0.038231,0.005285,3.339159,5,3,us-east-1,subnet-4adbff2e,t2.large,2021-07-19T03:28:00+00:00,16,running,windowsUIPath,active
5,i-0142bb8e9bace10f4,0.001877,0.002213,0.529169,6,3,us-east-1,subnet-4adbff2e,t2.xlarge,2021-07-22T10:00:40+00:00,16,running,elastic,idle
6,i-03782b8ffeb82946a,2.237544,0.246631,32.970858,7,3,us-east-1,subnet-4adbff2e,t2.large,2020-03-13T09:48:30+00:00,16,running,Talend1,active
7,i-06c1a55f20d6b3810,0.0,0.0,0.0,8,3,us-east-1,subnet-4adbff2e,t2.medium,2021-02-09T08:50:13+00:00,80,stopped,RDC,idle
8,i-031b06b4c88962501,0.0,0.0,0.0,9,3,us-east-1,subnet-4adbff2e,t2.medium,2021-02-09T08:50:48+00:00,80,stopped,rdc,idle
9,i-0bb64b921577cfdcf,0.005102,0.008008,0.051514,10,3,us-east-1,subnet-4adbff2e,t2.medium,2021-01-06T04:58:20+00:00,16,running,ftp-new,idle
10,i-0b7f68ba1e9ae38a9,0.055085,0.040083,9.511859,11,3,us-east-1,subnet-4adbff2e,t2.large,2020-10-14T14:28:07+00:00,16,running,Talend3,active
11,i-0f03e50d2ff9257c2,0.001763,0.001291,3.522711,12,3,us-east-1,subnet-4adbff2e,t2.medium,2020-12-17T08:40:04+00:00,16,running,Talend4,active
12,i-01c373de197bd5954,0.0,0.0,0.0,13,3,us-east-1,subnet-463cbf0e,t2.large,2021-10-29T14:47:04+00:00,80,stopped,Appzera-playground,idle
