,instanceid, networkinGiB, networkoutGiB, cpuutilization%,id,account_id,region,subnet,instancetype,launchtime,statecode,statename,name,state
0,i-08433a749412529ba,0.002129,0.005991,0.18463,1,3,us-west-2,subnet-7f117718,t2.medium,2020-11-02T08:44:17+00:00,16,running,Dashboard joomla,idle
1,i-01186405a7e4dbd06,0.0,0.0,0.0,2,3,us-west-2,subnet-7f117718,t2.micro,2017-05-24T08:37:08+00:00,80,stopped,Mehul,idle
2,i-074a56c2fc897de28,0.607081,23.358529,4.439238,3,3,us-west-2,subnet-7f117718,m4.xlarge,2021-02-17T08:53:53+00:00,16,running,Truenorth,active
3,i-036fed0f5fc68c3d9,0.0,0.0,0.0,4,3,us-west-2,subnet-7f117718,t2.small,2018-01-24T15:16:12+00:00,80,stopped,Angularoxzion,idle
4,i-0ea7c437b69e8a897,0.777818,2.784085,0.596499,5,3,us-west-2,subnet-7f117718,m4.xlarge,2020-12-03T05:27:56+00:00,16,running,arrowhead,active
5,i-0616ca410f0859c02,0.133576,0.134064,3.213015,6,3,us-west-2,subnet-7f117718,t2.small,2020-09-18T15:28:50+00:00,16,running,Windows-ARROWHEAD,active
6,i-042e3c55c4fe897e6,0.0,0.0,0.0,7,3,us-west-2,subnet-7f117718,t2.micro,2020-07-14T10:40:52+00:00,80,stopped,Sportsscience,idle
7,i-03efcaae2986a378f,0.054187,1.595908,0.262358,8,3,us-west-2,subnet-7f117718,t2.medium,2020-08-04T07:14:25+00:00,16,running,dashboards,active
8,i-0e080b1bf16515d66,0.030577,0.013538,0.752482,9,3,us-west-2,subnet-d591828d,t2.micro,2018-02-12T10:37:54+00:00,16,running,oxzionapp,idle
9,i-089100a36dbb4f344,0.0,0.0,0.0,10,3,us-west-2,subnet-7f117718,t2.small,2021-02-17T09:33:27+00:00,80,stopped,collabora,idle
10,i-0d417ac2865880065,0.0,0.0,0.0,11,3,us-west-2,subnet-7f117718,t2.medium,2021-02-26T09:36:48+00:00,80,stopped,collabora_docker,idle
11,i-0b39183adb9cfbb24,0.006334,0.002913,0.500148,12,3,us-west-2,subnet-df1274b8,t2.medium,2021-11-26T05:15:17+00:00,16,running,keycloak_nginx,idle
